chart,1,success, time: 89038,num: 1, compileerror:0, testfailure:0, checklines:546, checklocus:1847, checkchange:1846, locchange:337
chart,10,success, time: 775,num: 1, compileerror:0, testfailure:0, checklines:2, checklocus:8, checkchange:7, locchange:337
chart,11,success, time: 3312,num: 1, compileerror:0, testfailure:0, checklines:19, checklocus:100, checkchange:99, locchange:337
chart,24,success, time: 2278,num: 1, compileerror:0, testfailure:0, checklines:9, checklocus:45, checkchange:44, locchange:337
chart,1,success, time: 88727,num: 1, compileerror:0, testfailure:0, checklines:546, checklocus:1847, checkchange:1846, locchange:337
chart,10,success, time: 774,num: 1, compileerror:0, testfailure:0, checklines:2, checklocus:8, checkchange:7, locchange:337
chart,11,success, time: 3110,num: 1, compileerror:0, testfailure:0, checklines:19, checklocus:100, checkchange:99, locchange:337
chart,24,success, time: 2321,num: 1, compileerror:0, testfailure:0, checklines:9, checklocus:45, checkchange:44, locchange:337
chart,1,success, time: 99542,num: 445, compileerror:330, testfailure:114, checklines:4, checklocus:20, checkchange:280, locchange:1
chart,10,success, time: 3097,num: 47, compileerror:25, testfailure:21, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,11,success, time: 78942,num: 426, compileerror:321, testfailure:104, checklines:6, checklocus:49, checkchange:279, locchange:1
chart,24,success, time: 48509,num: 105, compileerror:77, testfailure:27, checklines:1, checklocus:8, checkchange:54, locchange:1
chart,1,success, time: 98347,num: 443, compileerror:335, testfailure:107, checklines:4, checklocus:20, checkchange:280, locchange:1
chart,10,success, time: 3018,num: 47, compileerror:26, testfailure:20, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,10,success, time: 3377,num: 48, compileerror:25, testfailure:22, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,10,success, time: 3177,num: 47, compileerror:25, testfailure:21, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,10,success, time: 3073,num: 47, compileerror:25, testfailure:21, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,1,success, time: 105621,num: 438, compileerror:327, testfailure:110, checklines:4, checklocus:20, checkchange:280, locchange:1
chart,10,success, time: 3077,num: 48, compileerror:26, testfailure:21, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,11,success, time: 78471,num: 428, compileerror:322, testfailure:105, checklines:6, checklocus:49, checkchange:279, locchange:1
chart,24,success, time: 52269,num: 106, compileerror:78, testfailure:27, checklines:1, checklocus:8, checkchange:54, locchange:1
chart,10,success, time: 7294,num: 48, compileerror:26, testfailure:21, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,1,success, time: 176477,num: 443, compileerror:329, testfailure:113, checklines:4, checklocus:20, checkchange:280, locchange:1
chart,10,success, time: 5570,num: 46, compileerror:25, testfailure:20, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,10,success, time: 5796,num: 46, compileerror:25, testfailure:20, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,10,success, time: 4021,num: 45, compileerror:25, testfailure:19, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,10,success, time: 5415,num: 47, compileerror:25, testfailure:21, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,10,success, time: 7001,num: 46, compileerror:25, testfailure:20, checklines:2, checklocus:8, checkchange:35, locchange:0
chart,1,success, time: 192734,num: 439, compileerror:334, testfailure:104, checklines:4, checklocus:20, checkchange:280, locchange:1
chart,11,success, time: 168495,num: 431, compileerror:324, testfailure:106, checklines:6, checklocus:49, checkchange:279, locchange:1
chart,24,success, time: 99152,num: 105, compileerror:77, testfailure:27, checklines:1, checklocus:8, checkchange:54, locchange:1
chart,1,success, time: 498,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,1,success, time: 474,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 260,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 262,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 249,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 250,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 265,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 251,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 252,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 249,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 251,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
